Drug Name,Temperature (oC),Concentration (mM),% Transmittance,Difference from Control
Sodium Citrate Dyhydrate,28,4,88.24023716,3.452161369
Sodium Citrate Dyhydrate,29,4,79.61593504,9.577591068
Sodium Citrate Dyhydrate,30,4,65.61452663,21.2815163
Sodium Citrate Dyhydrate,31,4,49.92675424,34.08370008
Sodium Citrate Dyhydrate,32,4,40.98893805,39.73456498
Sodium Citrate Dyhydrate,33,4,36.33568344,42.00728083
Sodium Citrate Dyhydrate,34,4,33.78054614,42.77911455
Sodium Citrate Dyhydrate,35,4,32.5586708,42.71908558
Sodium Citrate Dyhydrate,36,4,31.89089199,42.63948763
Sodium Citrate Dyhydrate,37,4,31.47748314,42.65354099
Sodium Citrate Dyhydrate,38,4,30.99797569,42.84910531
Sodium Citrate Dyhydrate,39,4,30.73736729,42.82685816
Sodium Citrate Dyhydrate,40,4,30.45556541,43.39151558
Sodium Citrate Dyhydrate,25,6,103.5142167,-3.514216668
Sodium Citrate Dyhydrate,26,6,99.54054174,-2.191129589
Sodium Citrate Dyhydrate,27,6,94.84184633,-1.013657471
Sodium Citrate Dyhydrate,28,6,88.64753559,3.04486294
Sodium Citrate Dyhydrate,29,6,78.2828569,10.91066921
Sodium Citrate Dyhydrate,30,6,60.90692399,25.98911894
Sodium Citrate Dyhydrate,31,6,46.84536926,37.16508506
Sodium Citrate Dyhydrate,32,6,39.26449354,41.45900948
Sodium Citrate Dyhydrate,33,6,34.94083934,43.40212493
Sodium Citrate Dyhydrate,34,6,32.43396173,44.12569896
Sodium Citrate Dyhydrate,35,6,31.26079367,44.01696271
Sodium Citrate Dyhydrate,36,6,30.45556541,44.07481421
Sodium Citrate Dyhydrate,37,6,29.87674864,44.25427549
Sodium Citrate Dyhydrate,38,6,29.51209227,44.33498873
Sodium Citrate Dyhydrate,39,6,29.21908869,44.34513676
Sodium Citrate Dyhydrate,40,6,29.04022654,44.80685445
Sodium Citrate Dyhydrate,25,8,106.4960092,-6.49600917
Sodium Citrate Dyhydrate,26,8,102.8805633,-5.531151122
Sodium Citrate Dyhydrate,27,8,98.40111058,-4.572921717
Sodium Citrate Dyhydrate,28,8,90.08794217,1.60445636
Sodium Citrate Dyhydrate,29,8,77.20877584,11.98475027
Sodium Citrate Dyhydrate,30,8,57.54399373,29.35204919
Sodium Citrate Dyhydrate,31,8,45.95505956,38.05539476
Sodium Citrate Dyhydrate,32,8,39.65823056,41.06527246
Sodium Citrate Dyhydrate,33,8,35.94733233,42.39563195
Sodium Citrate Dyhydrate,34,8,33.59954013,42.96012056
Sodium Citrate Dyhydrate,35,8,32.33453849,42.94321789
Sodium Citrate Dyhydrate,36,8,31.59851454,42.93186509
Sodium Citrate Dyhydrate,37,8,31.11716337,43.01386076
Sodium Citrate Dyhydrate,38,8,30.76096815,43.08611285
Sodium Citrate Dyhydrate,39,8,30.36220676,43.20201869
Sodium Citrate Dyhydrate,40,8,30.13006024,43.71702075
Sodium Citrate Dyhydrate,25,10,108.1433951,-8.14339513
Sodium Citrate Dyhydrate,26,10,103.3554384,-6.006026225
Sodium Citrate Dyhydrate,27,10,94.98754574,-1.159356885
Sodium Citrate Dyhydrate,28,10,84.59278697,7.099611559
Sodium Citrate Dyhydrate,29,10,65.46361741,23.7299087
Sodium Citrate Dyhydrate,30,10,50.38872081,36.50732212
Sodium Citrate Dyhydrate,31,10,42.69070564,41.31974868
